feature,traffic_volume,avg_speed,occupancy,signal_timing,road_capacity,temperature,rainfall,visibility,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,volume_lag_1,volume_lag_2,volume_lag_48,volume_rolling_mean_4,volume_rolling_mean_8,speed_lag_1,speed_lag_2,speed_lag_48,speed_rolling_mean_4,speed_rolling_mean_8,volume_capacity_ratio,capacity_headroom,days_to_nearest_event
day_of_week_sin,0.1584640519,-0.1743139739,0.1632583515,-0.0000439949,0.0000000000,-0.0042042804,0.0042592669,0.0051119313,0.0000000000,-0.0000000000,1.0000000000,0.0000000000,0.1579496424,0.1574082521,0.0678022465,0.1663566077,0.1836986701,-0.1738520790,-0.1734322080,-0.0760794069,-0.1902821801,-0.2190550039,0.1669237179,-0.1565164251,-0.0137603458
day_of_week_cos,-0.0376377669,0.0397167219,-0.0420022915,0.0006553260,0.0000000000,0.0034783075,-0.0284710522,0.0286201595,0.0000000000,-0.0000000000,0.0000000000,1.0000000000,-0.0385511735,-0.0394760723,-0.1463379003,-0.0423276905,-0.0504635401,0.0404879539,0.0411437989,0.1600344196,0.0456083086,0.0560281798,-0.0397043354,0.0371751741,-0.0257859599
volume_lag_1,0.9295266145,-0.8160997392,0.8650478276,0.7296697770,0.2661131608,0.4090791461,-0.0294513247,0.0679594888,-0.2559071140,-0.4889589532,0.1579496424,-0.0385511735,1.0000000000,0.9295163451,0.8361184942,0.9165535252,0.7079382320,-0.8927116873,-0.8172716114,-0.7237420817,-0.8232901106,-0.6059874147,0.8769155955,-0.7667984348,-0.0573396155
volume_lag_2,0.8374250408,-0.7155866983,0.7725795649,0.6420086899,0.2661429004,0.4274106796,-0.0206738358,0.0617326512,-0.3175556536,-0.4512605350,0.1574082521,-0.0394760723,0.9295163451,1.0000000000,0.7480074266,0.9763630919,0.8238988959,-0.8160753743,-0.8927027425,-0.6270492438,-0.8889588783,-0.7329580733,0.7827343036,-0.6758171583,-0.0571217787
volume_lag_48,0.8685883276,-0.7643458036,0.8091517031,0.7604873819,0.2661727918,0.3857533282,0.0082504115,0.0195229284,-0.1900589959,-0.5184674723,0.0678022465,-0.1463379003,0.8361184942,0.7480074266,1.0000000000,0.7056364561,0.4782261389,-0.7282809431,-0.6333893224,-0.8928143141,-0.6028290391,-0.3641336956,0.8144528345,-0.7070281731,-0.0475536532
volume_rolling_mean_4,0.7972961059,-0.6620721912,0.7278600986,0.5945893834,0.2812628772,0.4533099832,-0.0197406265,0.0628681403,-0.3620190921,-0.4487190656,0.1663566077,-0.0423276905,0.9165535252,0.9763630919,0.7056364561,1.0000000000,0.8971743355,-0.7908098240,-0.8562017132,-0.5722661867,-0.9035474510,-0.8034489685,0.7375457896,-0.6275934163,-0.0599540396
volume_rolling_mean_8,0.5688180461,-0.4075692145,0.4882754285,0.3563329053,0.3136155753,0.4961913610,-0.0114918270,0.0602979290,-0.5012926282,-0.3651805259,0.1836986701,-0.0504635401,0.7079382320,0.8238988959,0.4782261389,0.8971743355,1.0000000000,-0.5512640690,-0.6721619933,-0.3207284348,-0.7663699205,-0.8915151594,0.4951216559,-0.3835162153,-0.0658899634
speed_lag_1,-0.8172900264,0.8628891032,-0.8501121109,-0.7285835024,0.0030854658,-0.3630542996,-0.0255144232,0.0004546203,0.2170355985,0.4446060778,-0.1738520790,0.0404879539,-0.8927116873,-0.8160753743,-0.7282809431,-0.7908098240,-0.5512640690,1.0000000000,0.8628770869,0.7550988110,0.8737483763,0.6169124485,-0.8617679671,0.8090114493,0.0707199323
speed_lag_2,-0.7186175134,0.7456983673,-0.7482130485,-0.6334585820,0.0030770712,-0.3811283203,-0.0220745885,-0.0094858216,0.2732206880,0.4123738714,-0.1734322080,0.0411437989,-0.8172716114,-0.8927027425,-0.6333893224,-0.8562017132,-0.6721619933,0.8628770869,1.0000000000,0.6450599526,0.9511215974,0.7569261837,-0.7580136390,0.7115564471,0.0704420511
speed_lag_48,-0.7600017875,0.7991692329,-0.7963200912,-0.7625698488,0.0030179155,-0.3410074980,-0.0118617751,-0.0139968186,0.1571911580,0.4694063367,-0.0760794069,0.1600344196,-0.7237420817,-0.6270492438,-0.8928143141,-0.5722661867,-0.3207284348,0.7550988110,0.6450599526,1.0000000000,0.6051408319,0.3433909796,-0.8012173786,0.7526896965,0.0575122986
speed_rolling_mean_4,-0.6926947662,0.7094697445,-0.7213207826,-0.6015562884,0.0033720691,-0.4205073361,-0.0231918286,-0.0122999404,0.3247920949,0.4265346013,-0.1902821801,0.0456083086,-0.8232901106,-0.8889588783,-0.6028290391,-0.9035474510,-0.7663699205,0.8737483763,0.9511215974,0.6051408319,1.0000000000,0.8635399403,-0.7309157777,0.6861404252,0.0767951935
speed_rolling_mean_8,-0.4541271058,0.4431024380,-0.4735562114,-0.3579226330,0.0038964228,-0.4825228306,-0.0215556083,-0.0227104948,0.4741833850,0.3662015001,-0.2190550039,0.0560281798,-0.6059874147,-0.7329580733,-0.3641336956,-0.8034489685,-0.8915151594,0.6169124485,0.7569261837,0.3433909796,0.8635399403,1.0000000000,-0.4801014637,0.4508158924,0.0878168767
volume_capacity_ratio,0.9488579615,-0.9410538282,0.9850528610,0.8023533624,-0.0033706631,0.4054158069,-0.0365032179,0.0720822506,-0.1999472839,-0.5461106291,0.1669237179,-0.0397043354,0.8769155955,0.7827343036,0.8144528345,0.7375457896,0.4951216559,-0.8617679671,-0.7580136390,-0.8012173786,-0.7309157777,-0.4801014637,1.0000000000,-0.9391124275,-0.0607079807
capacity_headroom,-0.8364133907,0.8835109192,-0.9251534078,-0.7536762321,0.3057816461,-0.3799478144,0.0353455081,-0.0683699166,0.1875306482,0.5119029207,-0.1565164251,0.0371751741,-0.7667984348,-0.6758171583,-0.7070281731,-0.6275934163,-0.3835162153,0.8090114493,0.7115564471,0.7526896965,0.6861404252,0.4508158924,-0.9391124275,1.0000000000,0.0568480273
days_to_nearest_event,-0.0575554210,0.0710184290,-0.0593237856,0.0008239109,-0.0000000000,0.0826830991,-0.0165641870,0.0155784289,-0.0000000000,0.0000000000,-0.0137603458,-0.0257859599,-0.0573396155,-0.0571217787,-0.0475536532,-0.0599540396,-0.0658899634,0.0707199323,0.0704420511,0.0575122986,0.0767951935,0.0878168767,-0.0607079807,0.0568480273,1.0000000000
