dimension,dimension_value,row_count,traffic_volume_mean,traffic_volume_median,avg_speed_mean,occupancy_mean,travel_time_mean,accident_observed_rows,accident_positive_rows,accident_positive_rate,congestion_free_flow_rows,congestion_moderate_rows,congestion_heavy_rows,congestion_severe_rows
local_hour,3,7550,166.0968210000,160.0000000000,51.7460130000,12.0452450000,2.5384190000,7386,48,0.0064987800,7550,0,0,0
local_hour,4,7550,173.6508610000,166.0000000000,51.4341190000,12.5657480000,2.5537930000,7373,60,0.0081378000,7550,0,0,0
local_hour,5,7550,209.8083440000,200.5000000000,50.4004770000,15.1763310000,2.6056410000,7361,52,0.0070642600,7547,3,0,0
local_hour,6,7550,345.3870200000,330.0000000000,46.3885170000,24.9587420000,2.8373960000,7362,80,0.0108666100,6579,962,9,0
local_hour,7,7550,630.5892720000,609.0000000000,34.7677090000,45.5136560000,4.0265680000,7363,85,0.0115442100,1354,4295,1680,221
local_hour,8,7550,886.0096690000,867.0000000000,21.9455100000,63.8291130000,7.6292720000,7355,137,0.0186267800,228,1920,2068,3334
local_hour,9,7550,840.1214570000,821.0000000000,24.2534170000,60.6047950000,6.6323380000,7369,115,0.0156059200,276,2248,2585,2441
local_hour,10,7550,595.7792050000,576.0000000000,36.3818810000,43.1686890000,3.7373260000,7370,65,0.0088195400,1612,4773,1066,99
local_hour,11,7550,435.0466230000,420.0000000000,43.3767950000,31.4697620000,3.0368260000,7343,49,0.0066730200,4660,2841,47,2
local_hour,12,7550,396.5891390000,380.0000000000,44.8883710000,28.6853640000,2.9294520000,7368,64,0.0086862100,5811,1719,20,0
local_hour,13,7550,395.8279470000,381.0000000000,44.8574700000,28.6482910000,2.9295630000,7382,54,0.0073150900,5802,1738,10,0
local_hour,14,7550,412.8758940000,396.0000000000,44.2077480000,29.8415500000,2.9741090000,7349,52,0.0070757900,5363,2161,26,0
local_hour,15,7550,482.5552320000,468.0000000000,41.4873250000,34.8460930000,3.1924970000,7373,60,0.0081378000,3468,3971,106,5
local_hour,16,7550,633.4231790000,614.0000000000,34.7475230000,45.7456290000,3.9800720000,7338,72,0.0098119400,1126,4744,1503,177
local_hour,17,7550,794.0747020000,779.0000000000,26.6036950000,57.3926360000,5.6757440000,7379,119,0.0161268500,346,2619,2978,1607
local_hour,18,7550,813.1076820000,794.0000000000,25.6658940000,58.6999600000,5.9732500000,7365,107,0.0145281700,299,2470,2851,1930
local_hour,19,7550,640.9508610000,621.0000000000,34.3830600000,46.1911390000,4.0371850000,7359,66,0.0089686100,1135,4490,1737,188
local_hour,20,7550,408.5325830000,393.0000000000,44.4863970000,29.5938810000,2.9623510000,7356,54,0.0073409500,5332,2183,35,0
local_hour,21,7550,252.9178810000,241.0000000000,49.5528210000,18.3249010000,2.6490050000,7355,44,0.0059823200,7519,31,0,0
local_hour,22,7550,187.5099340000,180.0000000000,51.3418010000,13.5705300000,2.5567500000,7333,49,0.0066821200,7550,0,0,0
local_hour,23,7550,167.7455630000,162.0000000000,51.8398150000,12.1139340000,2.5337470000,7375,54,0.0073220300,7550,0,0,0
day_of_week,Friday,26400,482.2524620000,416.0000000000,40.2832420000,34.7964920000,3.8700130000,25723,260,0.0101076900,14411,6491,3323,2175
day_of_week,Monday,25200,480.2528970000,410.0000000000,40.1569920000,34.4369010000,3.9332090000,24585,229,0.0093146200,13888,6161,3030,2121
day_of_week,Saturday,26400,329.5421210000,280.0000000000,46.2749660000,24.1075270000,2.9094800000,25742,207,0.0080413300,19891,5877,585,47
day_of_week,Sunday,25200,331.6644840000,281.0000000000,46.4423170000,23.9346830000,2.9155350000,24546,179,0.0072924300,18959,5505,666,70
day_of_week,Thursday,26400,473.7807950000,407.0000000000,40.1817200000,34.1982420000,3.8432720000,25752,278,0.0107952800,14644,6602,3133,2021
day_of_week,Tuesday,25200,475.0430560000,409.0000000000,40.1412740000,34.3439840000,3.8459130000,24596,253,0.0102862300,13967,6216,3070,1947
day_of_week,Wednesday,26400,447.7387120000,380.0000000000,41.2346820000,32.3862880000,3.6459030000,25757,246,0.0095508000,15547,6316,2914,1623
weather_condition,Clear,136156,437.3618200000,367.0000000000,42.0623130000,31.5584380000,3.5926740000,132715,1098,0.0082733700,82500,32636,12938,8082
weather_condition,Cloudy,30664,430.3509330000,362.0000000000,42.3865970000,31.1982550000,3.5218470000,29926,228,0.0076187900,18811,7470,2830,1553
weather_condition,Fog,1278,221.6784040000,183.0000000000,45.4146320000,16.2527390000,2.9263380000,1248,44,0.0352564100,1203,70,4,1
weather_condition,Overcast,5988,422.0096860000,353.0000000000,42.9389780000,30.4745660000,3.4845310000,5853,41,0.0070049500,3860,1349,475,304
weather_condition,Rain,7114,370.3793930000,333.0000000000,40.2663760000,27.0654060000,3.4347680000,6959,241,0.0346314100,4933,1643,474,64
public_holiday,no,174000,440.3342240000,373.0000000000,41.7553500000,31.8030100000,3.6055490000,169690,1607,0.0094702100,104489,42807,16706,9998
public_holiday,yes,7200,218.4361110000,185.0000000000,50.4113190000,16.0564310000,2.6156460000,7011,45,0.0064184900,6818,361,15,6
event_flag,no,174000,424.0389940000,357.0000000000,42.3765750000,30.6609980000,3.4850070000,169663,1563,0.0092123800,108209,41402,15873,8516
event_flag,yes,7200,612.2375000000,529.0000000000,35.3983750000,43.6550420000,5.5287420000,7038,89,0.0126456400,3098,1766,848,1488
roadwork_flag,no,168000,440.3327800000,371.0000000000,42.3616950000,31.8108860000,3.5744530000,163825,1560,0.0095223600,101129,40343,16524,10004
roadwork_flag,yes,13200,319.3172730000,278.0000000000,38.7596670000,23.1137200000,3.4613710000,12876,92,0.0071450800,10178,2825,197,0
