feature,traffic_volume,avg_speed,occupancy,signal_timing,road_capacity,temperature,rainfall,visibility,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,volume_lag_1,volume_lag_2,volume_lag_48,volume_rolling_mean_4,volume_rolling_mean_8,speed_lag_1,speed_lag_2,speed_lag_48,speed_rolling_mean_4,speed_rolling_mean_8,volume_capacity_ratio,capacity_headroom,days_to_nearest_event
day_of_week_sin,31.8433487185,-1.4074820709,2.2699493113,-0.0002701959,0.0000000000,-0.0130181658,0.0031879906,5.4167544699,0.0000000000,-0.0000000000,0.5018403792,0.0000000000,31.7378471593,31.6269030368,13.5990697427,31.6302992780,31.3278860697,-1.4036606753,-1.4001963070,-0.6133055734,-1.4015231500,-1.3929119796,0.0338345085,-31.8433487185,-0.0429538358
day_of_week_cos,-7.5338877669,0.3194415355,-0.5817294603,0.0040090471,0.0000000000,0.0107283622,-0.0212272148,30.2088030041,0.0000000000,-0.0000000000,0.0000000000,0.4979437043,-7.7171671412,-7.9027598913,-29.4146165812,-8.0206945326,-8.5811257270,0.3256638558,0.3309628470,1.2928985449,0.3347883080,0.3552372359,-0.0080165420,7.5338877669,-0.0801794789
volume_lag_1,74792.6448853160,-2638.5802672258,4815.9938323387,1794.3934765914,24653.5867861832,507.1254335604,-8.8274650164,28837.1818488454,-51.3335542043,-98.0689313110,31.7378471593,-7.7171671412,80464.7426363719,74790.9235886559,67430.1024489912,69793.6082517074,48359.0805161965,-2886.2920562884,-2642.3374670719,-2345.9269806820,-2428.5644304121,-1543.4468874562,71.1711937885,-62465.8514922229,-71.6695860918
volume_lag_2,67379.7235775842,-2313.5632062956,4301.0261896972,1578.7754799334,24656.1816802745,529.7615587623,-6.1969557964,26196.5063584452,-63.7037423853,-90.5012524283,31.6269030368,-7.9027598913,74790.9235886559,80463.6964525512,60325.2977716464,74349.3547371872,56281.3765835123,-2638.4744038595,-2886.2693190617,-2032.5436832029,-2622.3245046769,-1866.8754300009,63.5247050596,-55051.6327374476,-71.3947878439
volume_lag_48,70047.3087797028,-2477.2291385588,4514.5127005740,1872.2702965938,24687.2885127147,477.9872265851,2.4797445307,8306.5843944505,-38.1657163289,-104.1133695523,13.5990697427,-29.4146165812,67430.1024489912,60325.2977716464,80648.7347029699,53857.4361715359,32746.2930425507,-2360.3635765040,-2052.8666736660,-2894.0323258921,-1782.5015202112,-929.5082522624,66.2438415089,-57703.6645233467,-59.4229890166
volume_rolling_mean_4,60711.1520560626,-2025.8584220787,3834.7257346454,1383.8521143082,24661.0266439909,531.5357746496,-5.6009804256,25252.4774109699,-68.7403158801,-85.1612988906,31.6302992780,-8.0206945326,69793.6082517074,74349.3547371872,53857.4361715359,72073.4948915140,58004.0637824240,-2419.7952631333,-2619.9023008307,-1755.5266475377,-2522.6991377051,-1936.8023080551,56.6466233695,-48380.6387340686,-70.9162831317
volume_rolling_mean_8,38855.1422527301,-1118.8340970077,2307.6115600450,743.9943071956,24669.8190878135,521.5044458539,-2.9260235965,21735.0017120415,-85.3996180234,-62.1769822921,31.3278860697,-8.5811257270,48359.0805161965,56281.3765835123,32746.2930425507,58004.0637824240,58011.5926380927,-1513.3054825910,-1845.2167067202,-882.6956246540,-1919.5256748282,-1928.3636561897,34.1118812281,-26520.2327088234,-69.9143057909
speed_lag_1,-2642.3886084686,112.0999664940,-190.1715002050,-71.9936319926,11.4857118571,-18.0843566219,-0.3072842870,7.7513076860,1.7493365729,3.5830911984,-1.4036606753,0.3256638558,-2886.2920562884,-2638.4744038595,-2360.3635765040,-2419.7952631333,-1513.3054825910,129.9129607363,112.0989521942,98.3622421622,103.5694953391,63.1445495753,-2.8103488375,2648.1314643971,3.5517744898
speed_lag_2,-2323.3309775919,96.8751317064,-167.3725189155,-62.5932777724,11.4545618248,-18.9817520721,-0.2658765016,-161.7459460265,2.2023618824,3.3231380212,-1.4001963070,0.3309628470,-2642.3374670719,-2886.2693190617,-2052.8666736660,-2619.9023008307,-1845.2167067202,112.0989521942,129.9152064683,84.0300771110,112.7415390429,77.4769242656,-2.4719251376,2329.0582585043,3.5377470882
speed_lag_48,-2463.4103078780,104.1021562533,-178.5719638786,-75.4572267443,11.2502321680,-16.9830314050,-0.1432932369,-239.3599742083,1.2686966006,3.7885987423,-0.6133055734,1.2928985449,-2345.9269806820,-2032.5436832029,-2894.0323258921,-1755.5266475377,-882.6956246540,98.3622421622,84.0300771110,130.2827474190,71.9178801002,35.2310785685,-2.6192358486,2469.0354239620,2.8885241807
speed_rolling_mean_4,-2043.2883052064,84.0962317498,-147.2155728294,-54.2360077528,11.4533917360,-19.1007185317,-0.2549042221,-191.3882606046,2.3890454445,3.1358908197,-1.4015231500,0.3347883080,-2428.5644304121,-2622.3245046769,-1782.5015202112,-2522.6991377051,-1919.5256748282,103.5694953391,112.7415390429,71.9178801002,108.1566944365,80.6460908668,-2.1746596068,2049.0150010745,3.5188476584
speed_rolling_mean_8,-1156.6393905883,45.3538205326,-83.4477805401,-27.8643080023,11.4282526285,-18.9091540530,-0.2046418464,-305.2314607813,3.0120096534,2.3248105414,-1.3929119796,0.3552372359,-1543.4468874562,-1866.8754300009,-929.5082522624,-1936.8023080551,-1928.3636561897,63.1445495753,77.4769242656,35.2310785685,80.6460908668,80.6502322117,-1.2333098369,1162.3535169026,3.4743229696
volume_capacity_ratio,77.0132412485,-3.0690315480,5.5319278685,1.9902990485,-0.3149816941,0.5070315978,-0.0110354373,30.8502511033,-0.0404539311,-0.1104907320,0.0338345085,-0.0080165420,71.1711937885,63.5247050596,66.2438415089,56.6466233695,34.1118812281,-2.8103488375,-2.4719251376,-2.6192358486,-2.1746596068,-1.2333098369,0.0818687278,-77.1707320955,-0.0765410845
capacity_headroom,-68140.0054257235,2892.1166053925,-5214.9207815781,-1876.5254927878,28681.2695875803,-476.9526749251,10.7253041401,-29370.5721028565,38.0832906142,103.9560620504,-31.8433487185,7.5338877669,-62465.8514922229,-55051.6327374476,-57703.6645233467,-48380.6387340686,-26520.2327088234,2648.1314643971,2329.0582585043,2469.0354239620,2049.0150010745,1162.3535169026,-77.1707320955,82480.6402195128,71.9417856750
days_to_nearest_event,-71.9417856750,3.5668819021,-5.1306998719,0.0314748532,-0.0000000000,1.5925089276,-0.0771186295,102.6797503268,-0.0000000000,0.0000000000,-0.0429538358,-0.0801794789,-71.6695860918,-71.3947878439,-59.4229890166,-70.9162831317,-69.9143057909,3.5517744898,3.5377470882,2.8885241807,3.5188476584,3.4743229696,-0.0765410845,71.9417856750,19.4168871230
